,name,homogeneity_score,completeness_score,v_measure_score,param1,param2,silhouette_score
86,Birch,0.5385601276454819,0.5367261387757338,0.5376415692014321,0.6,30,-0.15169754093466595
87,Birch,0.5469218213823764,0.5318645285539544,0.5392880929621992,0.6,50,-0.11644817309915675
88,Birch,0.5378024616115384,0.5348032188604184,0.5362986469628848,0.6,70,-0.1356658618857823
89,Birch,0.5213561808229173,0.515685572335187,0.5185053729599727,0.6,90,-0.14807927645950406
90,Birch,0.5669270018291505,0.5338466413892532,0.5498897574518361,0.7000000000000001,10,-0.10907143948089837
91,Birch,0.4689958586068982,0.48629774524401376,0.4774901195819352,0.7000000000000001,30,-0.15186706646167192
92,Birch,0.5578915783943241,0.5228501629926732,0.5398027882616241,0.7000000000000001,50,-0.15314194259806704
93,Birch,0.49844939249105286,0.5014316285279521,0.49993606311446603,0.7000000000000001,70,-0.15269819112838912
94,Birch,0.4971810978984198,0.5611774512387717,0.5272444230741746,0.7000000000000001,90,-0.19635195096223138
95,Birch,0.4758222540248286,0.4898155791317946,0.4827175260047313,0.8,10,-0.15349484484379108
96,Birch,0.36440843225445024,0.4176377371038084,0.38921158108397014,0.8,30,-0.21993016414710817
97,Birch,0.3917947539009485,0.4247399146627673,0.4076027062755962,0.8,50,-0.1629577613158998
98,Birch,0.5554422246607342,0.5377533848660012,0.546454694486233,0.8,70,-0.15473152087708616
99,Birch,0.5289779678956719,0.5760598593271867,0.551515914236132,0.8,90,-0.15923312910211096
100,Birch,0.2750301872817149,0.388134075140856,0.3219370928899188,0.9,10,-0.22184418463090533
101,Birch,0.27589763347442253,0.3857573530161741,0.3217070617332448,0.9,30,-0.2750469131461423
102,Birch,0.30686804165052933,0.38670229156888447,0.34219045778584334,0.9,50,-0.1935686314365027
103,Birch,0.3314395569141662,0.3733957280960579,0.3511688966366226,0.9,70,-0.16463643866804079
104,Birch,0.34333805477100493,0.3975274817935051,0.3684509687139799,0.9,90,-0.2134921200329631
