,name,param1,param2,homogeneity_score,completeness_score,v_measure_score,silhouette_score
96,Birch,0.7000000000000001,90,0.5567185218318956,0.6434863524571125,0.5969660324386549,-0.16625875661668763
97,Birch,0.8,10,0.4280521527864567,0.571721259440029,0.4895639610020938,-0.16436103604234373
98,Birch,0.8,30,0.3306557213049132,0.4574429774959326,0.3838507484149711,-0.22777469286810065
99,Birch,0.8,50,0.3230458823856169,0.4406798243876402,0.3728034854825417,-0.1480640355255348
100,Birch,0.8,70,0.5595849701929354,0.6462954453171385,0.5998226902966061,-0.16285969976380799
101,Birch,0.8,90,0.5322130778572239,0.6489320728551028,0.5848055772081802,-0.17083327387529668
102,Birch,0.9,10,0.28629944913557565,0.4430023489063551,0.3478157569285561,-0.21316635055131772
103,Birch,0.9,30,0.26328600002090913,0.4853978661877847,0.34139499560590986,-0.2894295915135846
104,Birch,0.9,50,0.2839621135884406,0.4354199157131467,0.3437471455450297,-0.1896767875299478
105,Birch,0.9,70,0.354038382038913,0.4759259531457454,0.406032036026123,-0.17828028878043362
106,Birch,0.9,90,0.30344655406410487,0.40583483342256127,0.34725056626012574,-0.24598113282580356
